,,high,neutral,low,average
CPS1,ENSG00000021826.10,10.0,96.0,16.0,0.01634426229508196
CPSF1,ENSG00000071894.10,57.0,58.0,7.0,0.5142622950819669
CPSF2,ENSG00000165934.8,5.0,85.0,32.0,-0.06596721311475413
CPSF3,ENSG00000119203.9,15.0,92.0,15.0,0.014377049180327867
CPSF3L,ENSG00000127054.14,24.0,50.0,48.0,-0.06902459016393443
CPSF4,ENSG00000160917.10,22.0,88.0,12.0,0.09557377049180328
CPSF4L,ENSG00000187959.5,25.0,77.0,20.0,0.07750819672131146
CPSF6,ENSG00000111605.12,8.0,103.0,11.0,0.026598360655737705
CPSF7,ENSG00000149532.11,13.0,89.0,20.0,-0.017860655737704925
CPT1A,ENSG00000110090.8,23.0,89.0,10.0,0.2065737704918032
CPT1B,ENSG00000205560.8,7.0,78.0,37.0,-0.09431147540983606
CPT1C,ENSG00000169169.10,15.0,89.0,18.0,0.055204918032786904
CPT2,ENSG00000157184.5,10.0,87.0,25.0,-0.03350819672131147
CPVL,ENSG00000106066.9,25.0,90.0,7.0,0.14131147540983613
CPXM1,ENSG00000088882.7,20.0,93.0,9.0,0.08040163934426235
CPXM2,ENSG00000121898.8,6.0,95.0,21.0,-0.03241803278688524
CPZ,ENSG00000109625.14,5.0,76.0,41.0,-0.11958196721311475
CR1,ENSG00000203710.6,91.0,26.0,5.0,0.6945983606557374
CR1L,ENSG00000197721.12,83.0,39.0,0.0,0.5634836065573768
CR2,ENSG00000117322.12,81.0,41.0,0.0,0.5659754098360655
CRABP1,ENSG00000166426.7,5.0,94.0,23.0,-0.0808196721311475
CRABP2,ENSG00000143320.4,82.0,40.0,0.0,0.5874180327868851
CRADD,ENSG00000169372.7,6.0,101.0,15.0,-0.006139344262295083
CRAMP1L,ENSG00000007545.11,34.0,80.0,8.0,0.21472950819672118
CRAT,ENSG00000095321.12,6.0,89.0,27.0,-0.0704672131147541
CRB1,ENSG00000134376.9,82.0,39.0,1.0,0.55794262295082
CRB2,ENSG00000148204.7,5.0,96.0,21.0,-0.04298360655737706
CRB3,ENSG00000130545.11,10.0,91.0,21.0,-0.024418032786885254
CRBN,ENSG00000113851.9,13.0,97.0,12.0,0.061385245901639345
CRCP,ENSG00000241258.2,19.0,96.0,7.0,0.07704918032786884
CRCT1,ENSG00000169509.5,84.0,38.0,0.0,0.5883770491803277
CREB1,ENSG00000118260.10,7.0,95.0,20.0,-0.022868852459016403
CREB3,ENSG00000107175.6,6.0,90.0,26.0,-0.03554098360655739
CREB3L1,ENSG00000157613.6,14.0,93.0,15.0,0.04584426229508194
CREB3L2,ENSG00000182158.10,23.0,91.0,8.0,0.1469016393442623
CREB3L3,ENSG00000060566.9,4.0,93.0,25.0,-0.083844262295082
CREB3L4,ENSG00000143578.11,83.0,39.0,0.0,0.5563360655737702
CREB5,ENSG00000146592.12,25.0,89.0,8.0,0.1365081967213115
CREBBP,ENSG00000005339.8,31.0,81.0,10.0,0.17059016393442622
CREBL2,ENSG00000111269.2,11.0,95.0,16.0,0.025008196721311476
CREBRF,ENSG00000164463.8,10.0,92.0,20.0,-0.007057377049180335
CREBZF,ENSG00000137504.9,10.0,78.0,34.0,-0.007819672131147535
CREG1,ENSG00000143162.7,83.0,38.0,1.0,0.5283196721311476
CREG2,ENSG00000175874.4,10.0,99.0,13.0,0.002614754098360654
CRELD1,ENSG00000163703.13,14.0,94.0,14.0,0.048762295081967236
CRELD2,ENSG00000184164.10,7.0,78.0,37.0,-0.09431147540983606
CREM,ENSG00000095794.15,18.0,90.0,14.0,0.07336065573770488
CRH,ENSG00000147571.3,58.0,57.0,7.0,0.46072131147540996
CRHBP,ENSG00000145708.6,8.0,83.0,31.0,-0.0839672131147541
CRHR1,ENSG00000120088.10,14.0,74.0,34.0,-0.05920491803278689
CRHR2,ENSG00000106113.14,26.0,90.0,6.0,0.1369508196721312
CRIM1,ENSG00000150938.5,11.0,96.0,15.0,-0.007516393442622945
CRIP1,ENSG00000213145.5,9.0,85.0,28.0,-0.03604098360655738
CRIP2,ENSG00000182809.6,9.0,85.0,28.0,-0.033270491803278686
CRIP3,ENSG00000146215.9,18.0,90.0,14.0,0.07627868852459019
CRIPAK,ENSG00000179979.7,4.0,82.0,36.0,-0.10613114754098357
CRIPT,ENSG00000119878.5,10.0,99.0,13.0,0.017688524590163943
CRISP1,ENSG00000124812.10,17.0,96.0,9.0,0.11618032786885248
CRISP2,ENSG00000124490.9,17.0,96.0,9.0,0.11511475409836068
CRISP3,ENSG00000096006.7,17.0,96.0,9.0,0.11511475409836068
CRISPLD1,ENSG00000121005.4,57.0,61.0,4.0,0.4481065573770494
CRISPLD2,ENSG00000103196.7,3.0,56.0,63.0,-0.2394262295081967
CRK,ENSG00000167193.7,6.0,56.0,60.0,-0.17520491803278684
CRKL,ENSG00000099942.8,7.0,76.0,39.0,-0.09628688524590168
CRLF1,ENSG00000006016.6,14.0,95.0,13.0,0.05272131147540986
CRLF3,ENSG00000176390.10,16.0,70.0,36.0,-0.011254098360655728
CRLS1,ENSG00000088766.6,20.0,93.0,9.0,0.08526229508196724
CRMP1,ENSG00000072832.10,3.0,83.0,36.0,-0.10727868852459015
CRNDE,ENSG00000245694.4,15.0,56.0,51.0,-0.11109836065573768
CRNKL1,ENSG00000101343.10,26.0,91.0,5.0,0.14398360655737702
CRNN,ENSG00000143536.7,84.0,38.0,0.0,0.5883770491803277
CROCC,ENSG00000058453.12,3.0,73.0,46.0,-0.15772950819672138
CROCCP2,ENSG00000215908.5,3.0,73.0,46.0,-0.15772950819672138
CROCCP3,ENSG00000080947.10,3.0,73.0,46.0,-0.15772950819672138
CROT,ENSG00000005469.7,23.0,91.0,8.0,0.1424508196721311
CRP,ENSG00000132693.8,87.0,35.0,0.0,0.5957704918032786
CRTAC1,ENSG00000095713.9,5.0,99.0,18.0,-0.02068852459016392
CRTAM,ENSG00000109943.4,1.0,71.0,50.0,-0.1946721311475409
CRTAP,ENSG00000170275.10,6.0,95.0,21.0,-0.034065573770491804
CRTC1,ENSG00000105662.11,14.0,95.0,13.0,0.04787704918032787
CRTC2,ENSG00000160741.12,83.0,39.0,0.0,0.55077868852459
CRTC3,ENSG00000140577.11,12.0,89.0,21.0,-0.027795081967213114
CRX,ENSG00000105392.11,6.0,93.0,23.0,-0.0714426229508197
CRY1,ENSG00000008405.7,3.0,101.0,18.0,-0.029434426229508197
CRY2,ENSG00000121671.7,17.0,90.0,15.0,0.059573770491803284
CRYAA,ENSG00000160202.3,9.0,101.0,12.0,0.011852459016393441
CRYAB,ENSG00000109846.3,4.0,67.0,51.0,-0.1810737704918033
CRYBA1,ENSG00000108255.3,21.0,70.0,31.0,0.11172131147540984
CRYBA2,ENSG00000163499.7,8.0,89.0,25.0,-0.03427049180327867
CRYBA4,ENSG00000196431.3,6.0,83.0,33.0,-0.0955409836065574
CRYBB1,ENSG00000100122.5,7.0,82.0,33.0,-0.0956393442622951
CRYBB2,ENSG00000244752.2,6.0,82.0,34.0,-0.1046065573770492
CRYBB2P1,ENSG00000100058.7,6.0,82.0,34.0,-0.1046065573770492
CRYBB3,ENSG00000100053.5,6.0,82.0,34.0,-0.10615573770491805
CRYBG3,ENSG00000080200.5,21.0,95.0,6.0,0.13909836065573775
CRYBG3,ENSG00000233280.2,21.0,95.0,6.0,0.13909836065573775
CRYGA,ENSG00000168582.4,6.0,96.0,20.0,-0.02687704918032787
CRYGB,ENSG00000182187.3,5.0,97.0,20.0,-0.02865573770491804
CRYGC,ENSG00000163254.4,5.0,97.0,20.0,-0.02865573770491804
CRYGD,ENSG00000118231.4,5.0,96.0,21.0,-0.03102459016393443
CRYGEP,ENSG00000229150.1,5.0,96.0,21.0,-0.03102459016393443
CRYGN,ENSG00000127377.4,19.0,87.0,16.0,0.07429508196721311
CRYGS,ENSG00000213139.3,22.0,90.0,10.0,0.09627868852459019
CRYL1,ENSG00000165475.9,5.0,75.0,42.0,-0.14171311475409837
CRYM,ENSG00000103316.6,31.0,82.0,9.0,0.16458196721311483
CRYZ,ENSG00000116791.9,12.0,91.0,19.0,0.009934426229508183
CRYZL1,ENSG00000205758.7,9.0,96.0,17.0,-0.011401639344262297
CS,ENSG00000062485.14,4.0,100.0,18.0,-0.02154918032786884
CSAD,ENSG00000139631.14,4.0,95.0,23.0,-0.05404918032786884
CSDC2,ENSG00000172346.10,6.0,79.0,37.0,-0.12133606557377051
CSDE1,ENSG00000009307.11,10.0,89.0,23.0,-0.03490163934426228
CSE1L,ENSG00000124207.12,39.0,81.0,2.0,0.23229508196721313
CSF1,ENSG00000184371.9,10.0,91.0,21.0,-0.02715573770491802
CSF1R,ENSG00000182578.9,12.0,91.0,19.0,4.9180327868859016e-05
CSF2,ENSG00000164400.4,7.0,91.0,24.0,-0.018180327868852465
CSF2RB,ENSG00000100368.9,8.0,77.0,37.0,-0.09445081967213116
CSF3,ENSG00000108342.8,26.0,68.0,28.0,0.23159016393442602
CSF3R,ENSG00000119535.13,9.0,83.0,30.0,-0.036024590163934424
CSGALNACT1,ENSG00000147408.10,12.0,51.0,59.0,-0.15927868852459015
CSGALNACT2,ENSG00000169826.6,12.0,94.0,16.0,0.02615573770491804
CSH1,ENSG00000136488.10,35.0,71.0,16.0,0.25270491803278683
CSH2,ENSG00000213218.5,35.0,71.0,16.0,0.25270491803278683
CSHL1,ENSG00000204414.7,35.0,71.0,16.0,0.25270491803278683
CSK,ENSG00000103653.12,5.0,95.0,22.0,-0.07300819672131148
CSMD1,ENSG00000183117.13,16.0,45.0,61.0,-0.16453278688524592
CSMD2,ENSG00000121904.13,6.0,85.0,31.0,-0.04445081967213114
CSMD3,ENSG00000164796.13,67.0,54.0,1.0,0.5731229508196722
CSN1S1,ENSG00000126545.9,12.0,95.0,15.0,0.06015573770491803
CSN1S2AP,ENSG00000234124.2,11.0,94.0,17.0,0.03667213114754098
CSN2,ENSG00000135222.6,12.0,95.0,15.0,0.05431147540983605
CSN3,ENSG00000171209.3,9.0,94.0,19.0,0.028049180327868847
CSNK1A1,ENSG00000113712.12,12.0,90.0,20.0,-8.196721311469815e-06
CSNK1A1L,ENSG00000180138.6,9.0,71.0,42.0,-0.10237704918032788
CSNK1A1P1,ENSG00000223518.5,1.0,91.0,30.0,-0.08992622950819668
CSNK1D,ENSG00000141551.10,29.0,74.0,19.0,0.11754098360655733
CSNK1E,ENSG00000213923.6,9.0,79.0,34.0,-0.08731967213114754
CSNK1G1,ENSG00000169118.11,2.0,97.0,23.0,-0.09886885245901639
CSNK1G2,ENSG00000133275.11,4.0,83.0,35.0,-0.11104098360655738
CSNK1G3,ENSG00000151292.13,8.0,91.0,23.0,-0.007786885245901635
CSNK2A1,ENSG00000101266.11,19.0,90.0,13.0,0.060877049180327866
CSNK2A2,ENSG00000070770.4,3.0,49.0,70.0,-0.2590983606557377
CSNK2A3,ENSG00000254598.2,9.0,85.0,28.0,-0.04246721311475411
CSNK2B,ENSG00000204435.9,22.0,93.0,7.0,0.1477377049180328
CSPG4,ENSG00000173546.7,5.0,95.0,22.0,-0.06480327868852459
CSPG4P12,ENSG00000259295.2,9.0,91.0,22.0,-0.05027868852459015
CSPG4P5,ENSG00000235370.4,10.0,90.0,22.0,-0.041729508196721304
CSPG4P8,ENSG00000188384.3,5.0,94.0,23.0,-0.05936065573770489
CSPG5,ENSG00000114646.5,6.0,82.0,34.0,-0.10036065573770489
CSPP1,ENSG00000104218.9,57.0,57.0,8.0,0.42056557377049186
CSRNP1,ENSG00000144655.10,8.0,94.0,20.0,-0.020877049180327872
CSRNP2,ENSG00000110925.2,5.0,98.0,19.0,-0.04395081967213116
CSRNP3,ENSG00000178662.11,9.0,100.0,13.0,0.040647540983606546
CSRP1,ENSG00000159176.9,77.0,45.0,0.0,0.5355655737704917
CSRP2,ENSG00000175183.5,6.0,105.0,11.0,0.028934426229508193
CSRP2BP,ENSG00000149474.8,23.0,93.0,6.0,0.12029508196721314
CSRP3,ENSG00000129170.4,13.0,87.0,22.0,0.007303278688524594
CST1,ENSG00000170373.4,28.0,89.0,5.0,0.15946721311475412
CST11,ENSG00000125831.5,27.0,90.0,5.0,0.15768032786885247
CST13P,ENSG00000204663.5,27.0,90.0,5.0,0.15768032786885247
CST2,ENSG00000170369.3,28.0,89.0,5.0,0.15946721311475412
CST3,ENSG00000101439.4,27.0,90.0,5.0,0.15768032786885247
CST4,ENSG00000101441.4,27.0,90.0,5.0,0.15768032786885247
CST5,ENSG00000170367.4,29.0,88.0,5.0,0.1635983606557377
CST6,ENSG00000175315.2,15.0,94.0,13.0,0.049319672131147546
CST7,ENSG00000077984.4,30.0,88.0,4.0,0.17300819672131146
CST8,ENSG00000125815.4,27.0,90.0,5.0,0.15768032786885247
CST9,ENSG00000173335.4,27.0,90.0,5.0,0.15768032786885247
CST9L,ENSG00000101435.4,27.0,90.0,5.0,0.15768032786885247
CSTA,ENSG00000121552.3,17.0,97.0,8.0,0.07652459016393444
CSTB,ENSG00000160213.5,10.0,100.0,12.0,0.018672131147540988
CSTF1,ENSG00000101138.7,40.0,82.0,0.0,0.2959508196721311
CSTF2T,ENSG00000177613.7,9.0,98.0,15.0,0.03343442622950819
CSTF3,ENSG00000176102.7,22.0,81.0,19.0,0.09144262295081967
CSTL1,ENSG00000125823.8,27.0,90.0,5.0,0.15768032786885247
CT49,ENSG00000248131.1,28.0,88.0,6.0,0.1644344262295081
CT60,ENSG00000258710.3,3.0,90.0,29.0,-0.09357377049180327
CT62,ENSG00000225362.3,2.0,100.0,20.0,-0.08024590163934424
CT64,ENSG00000241369.1,27.0,92.0,3.0,0.18454918032786882
CTAGE1,ENSG00000212710.3,11.0,81.0,30.0,-0.03608196721311476
CTAGE15,ENSG00000176227.9,26.0,86.0,10.0,0.1507950819672131
CTAGE4,ENSG00000225932.3,26.0,84.0,12.0,0.10791803278688519
CTAGE5,ENSG00000150527.12,9.0,85.0,28.0,0.013254098360655747
CTAGE6,ENSG00000271321.1,26.0,86.0,10.0,0.1507950819672131
CTAGE8,ENSG00000244693.1,26.0,84.0,12.0,0.10791803278688519
CTAGE9,ENSG00000236761.4,15.0,84.0,23.0,0.0300737704918033
CTBP1,ENSG00000159692.11,4.0,84.0,34.0,-0.09886065573770489
CTBP2,ENSG00000175029.12,8.0,90.0,24.0,-0.03221311475409836
CTBS,ENSG00000117151.7,11.0,91.0,20.0,-0.009262295081967225
CTC1,ENSG00000178971.9,5.0,53.0,64.0,-0.16718852459016384
CTCF,ENSG00000102974.10,7.0,48.0,67.0,-0.2315655737704918
CTCFL,ENSG00000124092.7,44.0,78.0,0.0,0.33951639344262313
CTDNEP1,ENSG00000175826.7,4.0,58.0,60.0,-0.18777868852459018
CTDP1,ENSG00000060069.12,10.0,75.0,37.0,-0.06745901639344264
CTDSP1,ENSG00000144579.3,8.0,90.0,24.0,-0.033163934426229495
CTDSP2,ENSG00000175215.5,8.0,99.0,15.0,0.04197540983606557
CTDSPL,ENSG00000144677.10,9.0,94.0,19.0,-0.009532786885245906
CTDSPL2,ENSG00000137770.9,4.0,83.0,35.0,-0.12533606557377047
CTF1,ENSG00000150281.6,31.0,83.0,8.0,0.21104918032786887
CTGF,ENSG00000118523.5,16.0,83.0,23.0,0.040934426229508214
CTH,ENSG00000116761.7,9.0,91.0,22.0,-0.020131147540983604
CTHRC1,ENSG00000164932.8,68.0,53.0,1.0,0.5652131147540983
CTIF,ENSG00000134030.9,14.0,74.0,34.0,-0.014040983606557375
CTLA4,ENSG00000163599.10,6.0,94.0,22.0,-0.043975409836065564
CTNNA1,ENSG00000044115.15,7.0,89.0,26.0,-0.04767213114754099
CTNNA2,ENSG00000066032.14,13.0,100.0,9.0,0.07592622950819672
CTNNA3,ENSG00000183230.11,6.0,92.0,24.0,-0.04357377049180328
CTNNAL1,ENSG00000119326.10,2.0,98.0,22.0,-0.06512295081967209
CTNNB1,ENSG00000168036.12,7.0,91.0,24.0,-0.03941803278688522
CTNNBIP1,ENSG00000178585.10,5.0,74.0,43.0,-0.15274590163934432
CTNNBL1,ENSG00000132792.14,34.0,85.0,3.0,0.18377049180327873
CTNND1,ENSG00000198561.8,13.0,90.0,19.0,0.03842622950819675
CTNND2,ENSG00000169862.14,28.0,88.0,6.0,0.1644344262295081
CTNS,ENSG00000040531.10,6.0,56.0,60.0,-0.16290163934426227
CTPS1,ENSG00000171793.9,13.0,84.0,25.0,0.014090163934426251
CTR9,ENSG00000198730.3,10.0,86.0,26.0,-0.022286885245901646
CTRB1,ENSG00000168925.6,9.0,53.0,60.0,-0.18941803278688524
CTRB2,ENSG00000168928.8,9.0,53.0,60.0,-0.18941803278688524
CTRC,ENSG00000162438.7,2.0,74.0,46.0,-0.17626229508196728
CTRL,ENSG00000141086.13,6.0,50.0,66.0,-0.2343688524590164
CTSA,ENSG00000064601.12,39.0,78.0,5.0,0.23335245901639343
CTSB,ENSG00000164733.16,14.0,45.0,63.0,-0.17195901639344252
CTSC,ENSG00000109861.11,10.0,80.0,32.0,-0.02218852459016393
CTSD,ENSG00000117984.8,5.0,81.0,36.0,-0.09755737704918031
CTSE,ENSG00000196188.6,78.0,44.0,0.0,0.5265081967213114
CTSF,ENSG00000174080.6,18.0,95.0,9.0,0.08527049180327871
CTSG,ENSG00000100448.3,12.0,87.0,23.0,0.03398360655737704
CTSH,ENSG00000103811.11,6.0,95.0,21.0,-0.053385245901639324
CTSK,ENSG00000143387.8,78.0,43.0,1.0,0.5538606557377047
CTSL,ENSG00000135047.10,6.0,91.0,25.0,-0.06077868852459018
CTSL3P,ENSG00000188029.4,6.0,91.0,25.0,-0.06077868852459018
CTSO,ENSG00000256043.2,6.0,95.0,21.0,-0.040442622950819664
CTSS,ENSG00000163131.6,78.0,43.0,1.0,0.5658196721311474
CTSV,ENSG00000136943.6,3.0,95.0,24.0,-0.06675409836065577
CTSW,ENSG00000172543.3,16.0,89.0,17.0,0.04285245901639347
CTSZ,ENSG00000101160.9,42.0,80.0,0.0,0.28921311475409833
CTTN,ENSG00000085733.11,27.0,83.0,12.0,0.38184426229508184
CTTNBP2,ENSG00000077063.6,22.0,88.0,12.0,0.12074590163934429
CTTNBP2NL,ENSG00000143079.9,8.0,90.0,24.0,-0.04614754098360654
CTU1,ENSG00000142544.6,13.0,94.0,15.0,0.029016393442622957
CTU2,ENSG00000174177.8,6.0,50.0,66.0,-0.23260655737704916
CTXN1,ENSG00000178531.4,6.0,94.0,22.0,-0.049278688524590185
CTXN2,ENSG00000233932.3,3.0,94.0,25.0,-0.06781147540983606
CTXN3,ENSG00000205279.4,10.0,92.0,20.0,0.024606557377049174
CUBN,ENSG00000107611.10,22.0,88.0,12.0,0.11942622950819674
CUEDC1,ENSG00000180891.8,26.0,77.0,19.0,0.14140983606557372
CUEDC2,ENSG00000107874.6,3.0,100.0,19.0,-0.055770491803278706
CUL1,ENSG00000055130.11,17.0,86.0,19.0,0.02995901639344261
CUL2,ENSG00000108094.10,19.0,86.0,17.0,0.06145081967213113
CUL3,ENSG00000036257.8,4.0,95.0,23.0,-0.06599180327868849
CUL4A,ENSG00000139842.10,17.0,67.0,38.0,0.027885245901639356
CUL5,ENSG00000166266.9,2.0,68.0,52.0,-0.19887704918032792
CUL7,ENSG00000044090.4,17.0,89.0,16.0,0.06621311475409834
CUL9,ENSG00000112659.9,18.0,89.0,15.0,0.07268032786885245
CUTA,ENSG00000112514.11,17.0,92.0,13.0,0.05167213114754101
CUTC,ENSG00000119929.8,4.0,98.0,20.0,-0.045918032786885235
CUX1,ENSG00000257923.5,20.0,87.0,15.0,0.06263114754098356
CUX2,ENSG00000111249.9,3.0,97.0,22.0,-0.06503278688524589
CUZD1,ENSG00000138161.8,5.0,97.0,20.0,-0.03704098360655737
CWC15,ENSG00000150316.7,7.0,73.0,42.0,-0.10952459016393448
CWC22,ENSG00000163510.9,10.0,101.0,11.0,0.0646967213114754
CWC25,ENSG00000108296.6,24.0,67.0,31.0,0.20927868852459008
CWC27,ENSG00000153015.11,7.0,84.0,31.0,-0.06490983606557378
CWF19L1,ENSG00000095485.12,3.0,99.0,20.0,-0.06137704918032789
CWF19L2,ENSG00000152404.11,3.0,68.0,51.0,-0.18536885245901646
CWH43,ENSG00000109182.7,8.0,70.0,44.0,-0.05634426229508198
CX3CL1,ENSG00000006210.6,4.0,54.0,64.0,-0.22400000000000003
CX3CR1,ENSG00000168329.9,8.0,95.0,19.0,-0.019385245901639352
CXADR,ENSG00000154639.14,11.0,93.0,18.0,0.05272131147540986
CXADRP3,ENSG00000265766.1,12.0,83.0,27.0,0.0045655737704918
CXCL1,ENSG00000163739.4,17.0,91.0,14.0,0.09653278688524591
CXCL10,ENSG00000169245.4,9.0,93.0,20.0,-0.02674590163934427
CXCL11,ENSG00000169248.8,9.0,93.0,20.0,-0.03467213114754099
CXCL12,ENSG00000107562.12,13.0,92.0,17.0,0.03165573770491804
CXCL13,ENSG00000156234.7,10.0,95.0,17.0,0.00354918032786885
CXCL14,ENSG00000145824.8,9.0,92.0,21.0,0.0029262295081967193
CXCL16,ENSG00000161921.10,3.0,58.0,61.0,-0.19581967213114754
CXCL17,ENSG00000189377.4,10.0,95.0,17.0,0.0006721311475409957
CXCL2,ENSG00000081041.8,18.0,90.0,14.0,0.10365573770491802
CXCL3,ENSG00000163734.4,18.0,90.0,14.0,0.10365573770491802
CXCL5,ENSG00000163735.6,18.0,90.0,14.0,0.10231967213114755
CXCL6,ENSG00000124875.5,17.0,91.0,14.0,0.09653278688524591
CXCL9,ENSG00000138755.5,9.0,93.0,20.0,-0.024672131147540993
CXCR1,ENSG00000163464.7,7.0,92.0,23.0,-0.036991803278688506
CXCR2,ENSG00000180871.3,7.0,92.0,23.0,-0.036991803278688506
CXCR2P1,ENSG00000229754.1,7.0,94.0,21.0,-0.03426229508196721
CXCR4,ENSG00000121966.6,6.0,94.0,22.0,-0.01889344262295082
CXCR5,ENSG00000160683.4,3.0,69.0,50.0,-0.18935245901639344
CXCR6,ENSG00000172215.5,6.0,89.0,27.0,-0.06204098360655738
CXXC1,ENSG00000154832.10,13.0,76.0,33.0,-0.021827868852459027
CXXC11,ENSG00000188011.5,4.0,94.0,24.0,-0.05897540983606556
CXXC4,ENSG00000168772.9,2.0,99.0,21.0,-0.05692622950819673
CXXC5,ENSG00000171604.7,8.0,88.0,26.0,-0.0423032786885246
CYB561,ENSG00000008283.11,35.0,73.0,14.0,0.2768524590163935
CYB561A3,ENSG00000162144.5,12.0,90.0,20.0,-0.017286885245901648
CYB561D1,ENSG00000174151.10,6.0,92.0,24.0,-0.06186885245901636
CYB561D2,ENSG00000114395.6,3.0,82.0,37.0,-0.12220491803278688
CYB5A,ENSG00000166347.13,11.0,75.0,36.0,-0.05513114754098364
CYB5B,ENSG00000103018.12,6.0,50.0,66.0,-0.22926229508196727
CYB5D1,ENSG00000182224.7,3.0,54.0,65.0,-0.20322131147540975
CYB5D2,ENSG00000167740.5,6.0,57.0,59.0,-0.1580081967213115
CYB5R1,ENSG00000159348.8,78.0,44.0,0.0,0.5316147540983606
CYB5R2,ENSG00000166394.10,9.0,85.0,28.0,-0.05294262295081968
CYB5R3,ENSG00000100243.16,7.0,79.0,36.0,-0.11190163934426227
CYB5R4,ENSG00000065615.8,11.0,86.0,25.0,-0.042163934426229524
CYB5RL,ENSG00000215883.5,10.0,87.0,25.0,-0.03497540983606558
CYBA,ENSG00000051523.6,6.0,50.0,66.0,-0.23260655737704916
CYBRD1,ENSG00000071967.7,8.0,95.0,19.0,-0.015393442622950814
CYC1,ENSG00000179091.4,57.0,58.0,7.0,0.5184590163934423
CYCS,ENSG00000172115.4,23.0,90.0,9.0,0.1139918032786886
CYFIP1,ENSG00000068793.13,3.0,90.0,29.0,-0.09357377049180327
CYFIP2,ENSG00000055163.14,10.0,94.0,18.0,-0.0007704918032786954
CYGB,ENSG00000161544.5,23.0,80.0,19.0,0.1017049180327868
CYHR1,ENSG00000187954.8,57.0,58.0,7.0,0.5142622950819669
CYLC2,ENSG00000155833.10,4.0,96.0,22.0,-0.038155737704918036
CYLD,ENSG00000083799.13,14.0,60.0,48.0,-0.08186885245901637
CYMP,ENSG00000240194.2,10.0,91.0,21.0,-0.018557377049180333
CYP11A1,ENSG00000140459.13,5.0,95.0,22.0,-0.07447540983606556
CYP11B1,ENSG00000160882.7,56.0,59.0,7.0,0.513918032786885
CYP11B2,ENSG00000179142.2,56.0,59.0,7.0,0.513918032786885
CYP17A1,ENSG00000148795.5,2.0,99.0,21.0,-0.061663934426229534
CYP19A1,ENSG00000137869.9,3.0,93.0,26.0,-0.09222131147540982
CYP1A1,ENSG00000140465.9,5.0,95.0,22.0,-0.07400819672131148
CYP1A2,ENSG00000140505.6,5.0,95.0,22.0,-0.07300819672131148
CYP1B1,ENSG00000138061.7,12.0,94.0,16.0,-0.0024836065573770427
CYP20A1,ENSG00000119004.10,3.0,94.0,25.0,-0.06738524590163934
CYP21A1P,ENSG00000204338.4,22.0,93.0,7.0,0.1477377049180328
CYP21A2,ENSG00000231852.2,22.0,93.0,7.0,0.1477377049180328
CYP24A1,ENSG00000019186.5,40.0,81.0,1.0,0.288
CYP26A1,ENSG00000095596.7,3.0,99.0,20.0,-0.056483606557377046
CYP26B1,ENSG00000003137.4,11.0,100.0,11.0,0.03490983606557377
CYP26C1,ENSG00000187553.5,3.0,99.0,20.0,-0.056483606557377046
CYP27A1,ENSG00000135929.4,8.0,89.0,25.0,-0.03511475409836064
CYP27B1,ENSG00000111012.4,7.0,99.0,16.0,0.024877049180327862
CYP27C1,ENSG00000186684.8,6.0,94.0,22.0,-0.023032786885245893
CYP2A13,ENSG00000197838.4,12.0,92.0,18.0,0.00988524590163935
CYP2A6,ENSG00000255974.2,15.0,89.0,18.0,0.06004918032786885
CYP2A7,ENSG00000198077.6,15.0,89.0,18.0,0.06004918032786885
CYP2AB1P,ENSG00000233441.2,21.0,91.0,10.0,0.09836065573770493
CYP2B6,ENSG00000197408.4,12.0,92.0,18.0,0.01862295081967214
CYP2B7P1,ENSG00000256612.3,12.0,92.0,18.0,0.031131147540983613
CYP2C18,ENSG00000108242.8,3.0,100.0,19.0,-0.04405737704918032
CYP2C19,ENSG00000165841.5,3.0,100.0,19.0,-0.04405737704918032
CYP2C8,ENSG00000138115.9,3.0,100.0,19.0,-0.040581967213114745
CYP2C9,ENSG00000138109.9,3.0,100.0,19.0,-0.0411311475409836
CYP2D6,ENSG00000100197.16,15.0,69.0,38.0,-0.046827868852458994
CYP2D7P1,ENSG00000205702.6,16.0,66.0,40.0,-0.04199999999999998
CYP2E1,ENSG00000130649.5,4.0,96.0,22.0,-0.04274590163934424
CYP2F1,ENSG00000197446.4,12.0,92.0,18.0,0.027122950819672136
CYP2G1P,ENSG00000130612.10,15.0,89.0,18.0,0.06004918032786885
CYP2J2,ENSG00000134716.5,11.0,92.0,19.0,0.014819672131147538
CYP2R1,ENSG00000186104.6,14.0,87.0,21.0,0.04283606557377048
CYP2S1,ENSG00000167600.9,12.0,93.0,17.0,0.030368852459016403
CYP2U1,ENSG00000155016.13,2.0,97.0,23.0,-0.057172131147540994
CYP2W1,ENSG00000073067.9,22.0,87.0,13.0,0.11159016393442626
CYP39A1,ENSG00000146233.3,19.0,91.0,12.0,0.12012295081967213
CYP3A4,ENSG00000160868.10,21.0,89.0,12.0,0.09908196721311477
CYP3A43,ENSG00000021461.12,21.0,89.0,12.0,0.0992704918032787
CYP3A5,ENSG00000106258.9,21.0,89.0,12.0,0.09432786885245902
CYP3A7,ENSG00000160870.8,21.0,89.0,12.0,0.09432786885245902
CYP46A1,ENSG00000036530.4,4.0,88.0,30.0,-0.06431967213114755
CYP4A11,ENSG00000187048.8,12.0,85.0,25.0,0.01270491803278691
